168,2.5,0.3,3,1,0.1,0,0.02,0.01,0,0,0,19
132,4.8,1,9,2,0.8,0,0.05,0.02,0,0,0,59
105,2.6,0.4,6,120,0.2,0,0.02,0.01,0,0,0,45
264,9.3,4.4,29,500,0.6,0,0.07,0.04,0,0,0,43
173,19.7,9.5,4,54,2.4,7,0.07,0.23,2,0.2,69,275
183,20.5,10.2,4,47,0.7,4,0.9,0.21,1,0.1,67,195
253,17.3,19.1,8,42,0.9,47,0.07,0.23,1,0.1,90,136
151,12.3,10.3,51,140,1.8,150,0.06,0.43,0,1.8,420,42
67,3.3,3.8,110,41,0,38,0.04,0.15,1,0.3,12,22
745,0.6,81,15,750,0.1,510,0.01,0.03,0,0.6,210,216
72,6.6,4.2,120,13,0.9,0,0.07,0.03,0,0,0,25
217,19.8,13.9,70,120,1.8,40,0.03,0.36,0,10,65,78
121,20.7,3.5,27,120,0.7,10,0.1,0.2,0,2,77,117
138,22.5,4.5,10,57,0.4,27,0.26,0.15,0,33,51,312
76,1.6,0.1,3,1,0.4,0,0.09,0.03,35,0,0,46
37,0.6,0.1,28,24,0.2,760,0.05,0.04,4,0,0,42
37,1,0.1,21,2,0.2,0,0.03,0.01,8,0,1,27
23,1.3,0.2,43,5,0.3,4,0.04,0.03,41,0,0,20
20,2.2,0.4,49,16,2,350,0.11,0.2,35,0,0,74
179,40,3.5,170,1700,8.2,2700,0.61,2.31,200,0,21,1427
54,0.2,0.1,3,0,0,2,0.02,0.01,4,0,0,53
17,0.6,0,11,250,0.3,32,0.03,0.03,3,0,0,61
2650,50,60,900,600,6.5,550,1.2,1.3,85,5,0,0
2050,40,46,700,600,9,400,0.9,1,85,5,0,0
